t,f0,f
-0.73,936.396,871.566
-0.69,936.316,871.744
-0.65,937.847,871.691
-0.57,936.678,872.838
-0.53,936.677,872.769
-0.49,936.676,873.239
-0.45,937.195,873.84
-0.41,937.715,874.929
-0.37,936.804,876.6
-0.33,936.907,879.08
-0.29,936.922,884.721
-0.25,937.14,894.844
-0.23,937.21,901.383
-0.21,937.28,903.893
-0.19,937.587,910.012
-0.17,937.702,913.334
-0.15,937.841,916.13
-0.13,937.739,918.206
-0.09,937.8,922.833
-0.05,937.899,925.866
-0.01,937.913,928.129
0.07,937.971,930.45
0.15,938.116,932.266
0.23,938.169,933.608
0.31,938.499,934.459
0.39,938.566,935.154
0.47,938.455,935.552
0.55,938.702,935.85
